Number;Area;Address
м.Київ - Відділ ведення ДРВ Голосіївської районної в місті Києві державної адміністрації;;
Звичайні виборчі дільниці:;;
800001;м.Київ – вул.Саперно-Слобідська, вул.Феодосійська: 1–5, 8/13, 13А, 19–47- пров.Литовський, пров.Ржевський, пров.Саперно-Слобідський, пров.Серпуховський, пров.Феодосійський, проїзд Саперно-Слобідський;вул.Феодосійська, 8/13, м.Київ, 03028 (Київський національний лінгвістичний університет, гуртожиток №3, актовий зал)
800002;м.Київ – вул.Велика Китаївська: 6–61А- вул.Феодосійська: 14А, 48-52- просп.Науки: 9, 11–13, 15, 17/15-;вул.Велика Китаївська, 85, м.Київ, 03028 (гімназія №59, вестибюль)
800003;м.Київ – просп.Науки: 14 к.1, 21, 23, 24 к.2-;просп.Науки, 21, м.Київ, 03028 (Національний університет харчових технологій, гуртожиток №2, актовий зал)
800004;м.Київ – вул.Велика Китаївська: 67–114- вул.Кримська, вул.Павла Грабовського, шосе Стратегічне: 12, 17, 21, 35–35А, 37–37А, 39–39А, 41-;просп.Науки, 29А, м.Київ, 03028 (Національний університет харчових технологій, корпус фізичного виховання, хол, 1-й поверх)
800005;м.Київ – вул.Академіка Писаржевського, вул.Байкальська, вул.Єнісейська, вул.Іртишська, вул.Столєтова, вул.Феодосійська: 6–8, 10- пров.Павла Грабовського, пров.Столєтова, пров.Стратегічний, просп.Науки: 25, 27, 29, 33, 35–35 к.4, 39- шосе Стратегічне: 20, 22–34, 36, 38–38А, 40, 44–50-;просп.Науки, 29А, м.Київ, 03028 (Національний університет харчових технологій, корпус фізичного виховання, хол, 1-й поверх)
800006;м.Київ – вул.Баренбойма, вул.Будіндустрії, вул.Вітянська, вул.Деревообробна, вул.Новопирогівська: 1–21, 23, 25–25/2, 27–27/2, 29–30- вул.Острівна, вул.Охотська, вул.Промислова, вул.1 Острівна, пров.Охотський;вул.Набережно-Корчуватська, 94А, м.Київ, 03045 (спеціалізована школа №273, 1-й поверх, коридор)
800007;м.Київ – вул.Набережно-Корчуватська: 12–84- вул.Плещеєва, пров.Віто-Литовський, пров.Плещеєва;вул.Набережно-Корчуватська, 78, м.Київ, 03045 (науковий центр НАПН України, коридор навчального корпусу, 1-й поверх)
800008;м.Київ – вул.Набережно-Корчуватська: 86–96- вул.Новопирогівська: 22, 24, 26–26А, 28, 31–33-;вул.Набережно-Корчуватська, 94А, м.Київ, 03045 (спеціалізована школа №273, 1-й поверх, коридор)
800009;м.Київ – вул.Багряна Дуброва, вул.Бродівська: 72–226- вул.Вітавська, вул.Горюшка Георгія, вул.Дібровна, вул.Жуків Затон, вул.Залежна, вул.Заливна, вул.Золоті Джерела, вул.Квіткові Луки, вул.Клавдії Радченко, вул.Кленова Долина, вул.Лаврова Юрія, вул.Лазурна, вул.Ліснича, вул.Лісоводна, вул.Любомирська, вул.Лютнева, вул.Ново-Бродівська, вул.Передова, вул.Підбірна, вул.Риболовецька, вул.Романова Михайла, вул.Рябова Олега, вул.Спокійна, вул.Хохлова Костянтина, вул.Цілинна, вул.Юровської Ольги, пров.Бродівський, пров.Дібровний, пров.Залежний, пров.Лазурний, пров.Підбірний, шосе Столичне;вул.Ліснича, 3, м.Київ, 03131 (школа №151, хол, 1-й поверх)
800010;м.Київ – вул.Генерала Матикіна, вул.Лісова-Козинська, вул.Старообухівська, Конча-Заспа, Конча-Заспа Лісництво, Конча-Заспа Пансіонат ’Сокіл’;"вул.Генерала Матикіна, 10, м.Київ, 03084 (будинок культури ""Конча-Заспа"", 1-й поверх, фойє)"
800011;м.Київ – вул.Бойова, вул.Голосіївська: 13–13Б, 19–21- вул.Гребінки, вул.Добрий Шлях, пров.Голосіївський;вул.Уральська, 2/10, м.Київ, 03028 (школа №108, 2-й поверх, коридор)
800012;м.Київ – вул.Конотопська, вул.Листопадна, вул.Максима Рильського, вул.Олега Кошевого, вул.Райгородська, вул.Санітарна, вул.Снайперська, вул.Стрілкова, вул.Уральська, вул.Цимбалів Яр, пров.Заремби Владислава, пров.Інгульський, пров.Райгородський, пров.Тихвінський, пров.Тобольський, пров.Тульський, пров.Уральський, пров.Цимбалів Яр;вул.Уральська, 2/10, м.Київ, 03028 (школа №108, 2-й поверх, коридор)
800013;м.Київ – вул.Голосіївська: 3, 5- вул.Ковельська, пров.Керамічний, пров.Полоцький, пров.Ремісничий, просп.Голосіївський: 17–19- просп.Науки: 4–6-;"вул.Голосіївська, 12, м.Київ, 03039 (ліцей ""Голосіївський"" №241, 1-й поверх, вестибюль)"
800014;м.Київ – вул.Ціолковського, пров.Ціолковського, просп.Науки: 10, 16–16А, 18–20, 22, 26, 28- шосе Стратегічне: 2А–11, 15-;просп.Науки, 26, м.Київ, 03028 (Національний університет харчових технологій, гуртожиток №5, актовий зал)
800015;м.Київ – вул.Малокитаївська, вул.Оскольська, пров.Малокитаївський, просп.Науки: 24, 30, 34, 36-;просп.Науки, 36, м.Київ, 03028 (Національний університет харчових технологій, гуртожиток №4, актовий зал)
800016;м.Київ – вул.Полковника Потєхіна: 12–14- пров.Сільськогосподарський, просп.Голосіївський: 95А, 97–97А, 99, 101, 103–105-;пров.Сільськогосподарський, 2, м.Київ, 03041 (Еколого-природничий ліцей №116, 1-й поверх, коридор)
800017;м.Київ – вул.Героїв Оборони, вул.Полковника Потєхіна: 2–8- просп.Голосіївський: 89, 91-;вул.Героїв Оборони, 6, м.Київ, 03127 (Інститут екогігієни і токсикології ім.Медведя, 1-й поверх, хол)
800018;м.Київ – вул.Генерала Родимцева: 3А–25- вул.Полковника Затєвахіна;вул.Генерала Родимцева, 7Б, м.Київ, 03041 (Національний університет біоресурсів і природокористування України, гуртожиток №11, читальний зал)
800019;м.Київ – вул.Лисогірська, вул.Панорамна, вул.Ракетна, просп.Науки: 42–58 к.2-;просп.Науки, 47, м.Київ, 03028 (Інститут ядерних досліджень Національної академії наук України, великий конференц-зал)
800020;м.Київ – вул.Блакитного, вул.Генерала Родимцева: 1–3-;вул.Блакитного, 8, м.Київ, 03041 (Національний університет біоресурсів і природокористування України, гуртожиток №8, читальний зал)
800021;м.Київ – вул.Левітана, пров.Левітана, пров.Моторний, просп.Науки: 59–78-;просп.Науки, 63, м.Київ, 03083 (бібліотека ім.М.Вовчка, читальний зал)
800022;м.Київ – вул.Академіка Кащенка, вул.Армійська, вул.Весняна, вул.Закарпатська, вул.Пирогівський шлях: 30–48- просп.Науки: 102–194А-;вул.Китаївська, 22, м.Київ, 03083 (школа №122, 1-й поверх, коридор)
800023;м.Київ – вул.Адмірала Ушакова, вул.Буковинська, вул.Військова, вул.Маршальська, вул.Ново-Корчуватська, просп.Науки: 80А/73–98-;вул.Китаївська, 22, м.Київ, 03083 (школа №122, 1-й поверх, коридор)
800024;м.Київ – вул.Золотоніська, вул.Квітки-Основ’яненка, вул.Китаївська, вул.Корчуватська, вул.Марії Боровиченко, вул.Оксани Петрусенко, вул.Парникова, вул.Садова, вул.Салавата Юлаєва, вул.Степана Дуки, вул.Трахтемирівська, вул.Учбова, вул.Хортицька, вул.Хутірська, вул.Ягідна, вул.Ягідна 60, вул.Ягідна-Марії Боровиченко, пров.Квітки-Основ’яненка, пров.Корчуватський, пров.Самбірський, пров.Учбовий, пров.Хортицький, пров.Черешневий, пров.Ягідний;вул.Китаївська, 22, м.Київ, 03083 (школа №122, 2-й поверх, коридор)
800025;м.Київ – вул.Барикадна, вул.Бродівська: 14–56- вул.Квітуча, вул.Комунальна, вул.Корінна, вул.Лауреатська, вул.Пирогівський шлях: 52–239- вул.Солов’їна, вул.Ставкова, вул.Фестивальна, вул.Фіалкова, пров.Пересіченський, пров.Цегельний, шосе Дніпропетровське;вул.Пирогівський шлях, 148, м.Київ, 03026 (школа №150, 1-й поверх, хол)
800026;м.Київ – вул.Теремківська: 1–3, 6, 8–12- просп.Академіка Глушкова: 6–12, 92Б- Кільцева дорога: 3Б-;Кільцева дорога, 3Б, м.Київ, 03187 (Академія праці і соціальних відносин, хол)
800027;м.Київ – вул.Теремківська: 5, 7, 13–21- просп.Академіка Глушкова: 22-;просп.Академіка Глушкова, 28, м.Київ, 03187 (школа №132, фойє)
800028;м.Київ – вул.Жулянська, вул.Чабанівська, просп.Академіка Глушкова: 14, 16, 18, 24, 26, 30, 32, 34, 40 (4325)-;просп.Академіка Глушкова, 28, м.Київ, 03187 (школа №132, фойє)
800029;м.Київ – просп.Академіка Глушкова: 41–61-;просп.Академіка Глушкова, 17А, м.Київ, 03187 (спеціалізована школа №269, актовий зал)
800030;м.Київ – просп.Академіка Глушкова: 17, 19–21, 23, 25, 27–29, 31, 33, 35–39-;просп.Академіка Глушкова, 17А, м.Київ, 03187 (спеціалізована школа №269, спортивний зал)
800031;м.Київ – вул.Академіка Заболотного: 2–22- просп.Академіка Глушкова: 13, 15-;просп.Академіка Глушкова, 17А, м.Київ, 03187 (спеціалізована школа №269, вестибюль)
800032;м.Київ – вул.Академіка Заболотного: 24–28, 30–42-;"вул.Академіка Заболотного, 20А, м.Київ, 03187 (КП ""ЖЕО-109"", актовий зал)"
800033;м.Київ – вул.Академіка Заболотного: 44–68-;вул.Академіка Заболотного, 6А, м.Київ, 03187 (школа №286, вестибюль)
800034;м.Київ – вул.Академіка Заболотного: 70–92-;вул.Академіка Заболотного, 6А, м.Київ, 03187 (школа №286, спортивний зал №1)
800035;м.Київ – вул.Академіка Заболотного: 29А–29Д, 94–118- вул.Івана Сірка: 3–7, 11–19/29-;вул.Академіка Заболотного, 6А, м.Київ, 03187 (школа №286, спортивний зал №2)
800036;м.Київ – вул.Академіка Заболотного: 120–142- вул.Івана Сірка: 8–8 (1ТВУЗ)- вул.Метрологічна: 1–2А- вул.Орбітна, вул.Планетна, вул.Селекціонерів, вул.Якова Степового;вул.Академіка Заболотного, 144, м.Київ, 03143 (школа №236, хол)
800037;м.Київ – вул.Академіка Заболотного: 148А(148)–156 к.2- вул.Академіка Лебедєва, вул.Квітнева, вул.Липнева, вул.Метрологічна: 6–188- вул.Серпнева;вул.Академіка Заболотного, 144, м.Київ, 03143 (школа №236, 1-й поверх коридор)
800038;м.Київ – вул.Ломоносова: 30/1–30/2, 36А, 41, 45, 47-;вул.Васильківська, 90А, м.Київ, 03022 (Київський національний університет ім.Т.Шевченка, учбовий корпус, хол, 1-й поверх)
800039;м.Київ – вул.Ломоносова: 34А–34/2, 46/1, 53, 59, 61, 77- вул.Максимовича Михайла: 9В-;вул.Ломоносова, 61, м.Київ, 03022 (Київський національний університет ім.Т.Шевченка, гуртожиток №7, читальний зал)
800040;м.Київ – вул.Академіка Вільямса: 3А–6Г, 28–36- вул.Васильківська: 94- вул.Ломоносова: 51, 55, 57-;просп.Академіка Глушкова, 4Е, м.Київ, 03127 (Київський національний університет ім.Т.Шевченка, учбовий корпус, вестибюль)
800041;м.Київ – вул.Ломоносова: 43, 48А, 50/2, 71Г–75А, 79–83А- вул.Мейтуса;просп.Академіка Глушкова, 2А, м.Київ, 03127 (Київський національний університет ім.Т.Шевченка, учбовий корпус, хол)
800042;м.Київ – вул.Василя Симоненка, вул.Ломоносова: 34 к.2, 52А, 63–67- вул.Максимовича Михайла: 9Б-;вул.Ломоносова, 65, м.Київ, 03022 (Національний університет біоресурсів і природокористування України, гуртожиток №6, читальний зал)
800043;м.Київ – вул.Академіка Вільямса: 2В–2Г, 6Д–8Д, 19/14- вул.Ломоносова: 52/3, 54–54А, 56, 58–58А, 60А–60/5- вул.Маршала Конєва, вул.Московська: 25Б, 39, 45, 51, 57- вул.Творча, вул.Успішна, вул.Щаслива, пров.Московський: 2А, 2Б, 2И-;"вул.Ломоносова, 58А, м.Київ, 03022 (ТОВ ""Ліко-житлосервіс"", актовий зал)"
800044;м.Київ – вул.Дмитра Луценка: 1–5 к.2-;вул.Маршала Якубовського, 7Д, м.Київ, 03191 (ліцей №227 ім. М.Громова, вестибюль)
800045;м.Київ – вул.Дмитра Луценка: 5Б–16- вул.Лятошинського: 28-;вул.Маршала Якубовського, 7Д, м.Київ, 03191 (ліцей №227 ім. М.Громова, вестибюль)
800046;м.Київ – вул.Маршала Якубовського: 9–11- вул.Юрія Смолича;вул.Маршала Якубовського, 7Б, м.Київ, 03191 (спеціалізована школа №260, вестибюль)
800047;м.Київ – вул.Лятошинського: 14Б–26Б-;вул.Маршала Якубовського, 7Б, м.Київ, 03191 (спеціалізована школа №260, вестибюль)
800048;м.Київ – вул.Маршала Якубовського: 2А–3, 5–7-;вул.Маршала Якубовського, 7Б, м.Київ, 03191 (спеціалізована школа №260, спортивний зал)
800049;м.Київ – вул.Василя Касіяна: 2–6Б-;"вул.Василя Касіяна, 8, м.Київ, 03191 (КП ""Голосіївжитлосервіс"", актовий зал)"
800050;м.Київ – вул.Василя Касіяна: 10–10А- вул.Лятошинського: 8–14А-;вул.Маршала Якубовського, 7Г, м.Київ, 03191 (спеціалізована школа №220, вестибюль)
800051;м.Київ – вул.Академіка Костичева, вул.Лятошинського: 2–4А- вул.Маршала Якубовського: 2, 4-;вул.Маршала Якубовського, 7Г, м.Київ, 03191 (спеціалізована школа №220, спортивний зал)
800052;м.Київ – вул.Васильківська: 5Б–5/7, 7/7, 9/14- вул.Красилівська, вул.Михайла Стельмаха: 3, 6–12А- пров.Задорожний;вул.Михайла Стельмаха, 9, м.Київ, 03040 (школа №36, 1-й поверх, коридор (праве крило))
800053;м.Київ – вул.Васильківська: 11/11–15/14- вул.Ломоносова: 4, 8- вул.Маричанська: 6/6, 8, 10, 12 к.1–13- просп.Голосіївський: 82–88, 90-;вул.Маричанська, 4, м.Київ, 03040 (Вище професійне училище будівництва, 1-й поверх, спортивна зала)
800054;м.Київ – вул.Бурмистенка: 9/10–13- вул.Ломоносова: 5 к.1–7Г- вул.Маричанська: 3–5, 7, 9, 11/8- вул.Михайла Стельмаха: 5- просп.Голосіївський: 92/1–94 к.2, 96-;вул.Маричанська, 4, м.Київ, 03040 (Вище професійне училище будівництва, 1-й поверх, коридор)
800055;м.Київ – вул.Васильківська: 19/15–29/22- вул.Володі Дубініна: 12/12–16- вул.Ломоносова: 11–19/11- пров.Василя Жуковського: 10–17/25- пров.Коломийський: 11, 13/23–18 к.3-;вул.Ломоносова, 18, м.Київ, 03022 (Київський кооперативний інститут бізнесу і права, каб.106)
800056;м.Київ – вул.Бурмистенка: 3–8/9- просп.Голосіївський: 98/2, 100/2, 102/1, 106/2-;вул.Бурмистенка, 4, м.Київ, 03040 (Національний університет біоресурсів і природокористування України, гуртожиток №4, читальний зал)
800057;м.Київ – вул.Володі Дубініна: 1–8- вул.Ломоносова: 21/14–22/15- пров.Василя Жуковського: 3 к.1–8/17- пров.Коломийський: 3/1–10, 12- просп.Голосіївський: 108 к.2–112, 114 к.2-;вул.Сєченова, 9, м.Київ, 03127 (школа-інтернат №9, вестибюль)
800058;м.Київ – вул.Ломоносова: 24–29, 31 к.1-;вул.Сєченова, 8, м.Київ, 03127 (школа №186, коридор, 1-й поверх)
800059;м.Київ – вул.Ломоносова: 31 к.2- вул.Сєченова, просп.Голосіївський: 114 к.1-;вул.Сєченова, 8, м.Київ, 03127 (школа №186, коридор, 2-й поверх)
800060;м.Київ – вул.Васильківська: 36- вул.Максимовича Михайла: 3–9А, 22-;вул.Васильківська, 36, м.Київ, 03022 (Інститут післядипломної освіти Київського національного університету ім.Т.Шевченка, хол)
800061;м.Київ – вул.Васильківська: 47 к.1–49 к.3- просп.Голосіївський: 116А–120 к.3-;"просп.Голосіївський, 118Б, м.Київ, 03127 (ТОВ""Квартет-ЛТД"", ДЮК ""Олімпія"", танцювальний зал)"
800062;м.Київ – вул.Васильківська: 51–55- просп.Голосіївський: 122 к.1–150Г-;просп.Голосіївський, 120В, м.Київ, 03127 (гімназія №179, вестибюль)
800063;м.Київ – вул.Балакірєва, вул.Мистецька, вул.Пролетарська, вул.Римського-Корсакова, вул.Фрометівська, вул.Фрометівський Узвіз, пров.Балакірєва, пров.Гулака-Артемовського, пров.Пролетарський, пров.Тихонівський, пров.Хутоярівський, пров.Щоглівський, пров.Ясинуватський, просп.Лобановського Валерія: 114/1, 114/2, 114/3, 117, 119, 126, 126Г, 128, 130, 150, 150А, 150Б, 150В, 150Г, 150Д-;просп.Лобановського Валерія, 146, м.Київ, 03118 (школа №319, коридор, 1-й поверх)
800064;м.Київ – вул.Батумська, вул.Кустанайська, вул.Майкопська, вул.Сквирська, пров.Кустанайський, пров.Майкопський, пров.Сквирський;вул.Кустанайська, 9, м.Київ, 03118 (Національний університет фізичного виховання і спорту України, гуртожиток №5, хол)
800065;м.Київ – вул.Бурмистенка: 25–42- вул.Водогінна, вул.Гатна, вул.Гвардійська, вул.Генерала Доватора, вул.Гориста, вул.Деміївська: 12–14- вул.Козацька, вул.Краматорська, вул.Криворізька, вул.Маршала Говорова, вул.Москвіна, вул.Нікопольська, вул.Професора Буйка, вул.П’ятигорська, вул.Тихорецька, вул.Ужгородська, вул.Холмогорська, вул.Хотівська, вул.Широка, пров.Бурмистенка, пров.Васильківський, пров.Генерала Доватора, пров.Гористий, пров.Козацький, пров.Краматорський, пров.Москвіна, пров.П’ятигорський, пров.Тихорецький, пров.Холмогорський;вул.Козацька, 5, м.Київ, 03039 (спеціалізована школа №110, актовий зал)
